Date,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,return_on_investment,tangible_equity,return_on_tangible_equity,price,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,shares_outstanding,ps_ratio,pb_ratio,pfcf_ratio,total_assets,ticker
9/30/2013,1.42,10.492957746478874,6.5,4.91,1.74,73.29,1.68,71.52,1.64,83.45,0.68,29.06,18.57,69.79,117.79,30.44,14.9,43.66,123.55,37.04,40546,123549,37472,13871,10030,11813,7512,0.3,26087,2.292307692307692,3.034623217922607,8.563218390804598,207,AAPL
12/31/2013,1.44,12.25,6.73,5.19,1.77,80.35,1.49,78.23,1.46,95.5,0.74,28.93,17.92,46.09,123.56,30.3,17.64,53.77,129.68,37.03,40711,129684,57594,21846,17463,19607,13072,0.52,25241,2.6210995542347697,3.398843930635838,9.966101694915254,225.18,AAPL
3/31/2014,1.49,11.395973154362416,6.94,4.98,1.88,70.54,1.63,68.71,1.59,85.81,0.71,30.36,18,35.63,114.2,31.89,16.98,43.21,120.18,37.71,41350,120179,45646,17947,13593,15480,10223,0.42,24627,2.446685878962536,3.4096385542168672,9.031914893617023,205.99,AAPL
6/30/2014,1.55,13.348387096774195,7.12,5.05,1.98,67.95,1.47,66.36,1.44,101.58,0.84,31.2,17.92,35.78,114.8,32.79,20.69,46.21,120.94,38.56,37805,120940,37432,14735,10282,12228,7748,0.32,24207,2.9058988764044944,4.097029702970297,10.44949494949495,222.52,AAPL
9/30/2014,1.61,13.999999999999998,7.4,4.75,2.05,68.53,1.08,66.42,1.05,120.29,1.08,32.76,17.85,36.57,102.79,34.71,22.54,63.45,111.55,39.51,25077,111547,42123,16009,11165,13134,8467,0.36,24491,3.0459459459459457,4.745263157894737,10.995121951219513,231.84,AAPL
12/31/2014,1.86,13.338709677419354,8.29,5.29,2.52,83.4,1.13,81.12,1.1,138.57,1.12,37.36,19.28,40.64,114.33,39.87,24.81,73.61,123.33,44.46,32463,123328,74599,29741,24246,26821,18024,0.77,23527,2.9927623642943306,4.689981096408317,9.845238095238095,261.89,AAPL
3/31/2015,2.02,13.896039603960396,8.92,5.6,2.74,67.89,1.16,65.5,1.12,132.19,1.03,39.44,19.56,41.58,120.23,42.29,28.07,58.73,129.01,47.81,33096,129006,58010,23656,18278,20757,13569,0.58,23339,3.146860986547085,5.0125,10.244525547445255,261.19,AAPL
6/30/2015,2.17,13.096774193548388,9.52,5.51,2.97,70.95,1.09,68.91,1.06,147.47,1.17,41.46,19.74,42.45,116.85,44.68,28.42,65.29,125.68,50.74,34703,125677,49605,19681,14083,17167,10677,0.46,23092,2.9852941176470593,5.157894736842106,9.569023569,273.15,AAPL
9/30/2015,2.3,10.878260869565217,10.03,5.35,3.02,89.38,1.11,87.03,1.08,170.99,1.43,42.94,19.66,42.48,110.35,46.25,25.02,80.61,119.36,53.39,41601,119355,51501,20548,14623,17742,11124,0.5,23172,2.494516450648056,4.676635514018692,8.284768211920529,290.35,AAPL
12/31/2015,2.36,10.194915254237289,10.25,5.78,2.79,76.22,1,73.77,0.97,165.02,1.29,42.79,19.22,40.87,119.14,46.06,24.06,76.09,128.27,53.73,38074,128267,75872,30423,24171,27125,18361,0.82,22377,2.3473170731707316,4.162629757785466,8.623655913978494,293.28,AAPL
3/31/2016,2.25,11.128888888888888,10.04,5.95,2.49,87.59,1.28,85.31,1.25,174.82,1.34,40.24,17.44,36.78,121.37,43.34,25.04,68.27,130.46,50.68,55283,130457,50557,19921,13987,16464,10516,0.48,22164,2.494023904,4.208403361344538,10.056224899598392,305.28,AAPL
6/30/2016,2.14,10.327102803738319,9.83,5.87,2.29,93.76,1.31,91.93,1.29,179.06,1.42,37.89,16.01,33.56,117.77,40.8,22.1,71.49,126.54,47.8,61756,126541,42358,16106,10105,12631,7796,0.36,21891,2.2482197355035605,3.7649063032367973,9.650655021834062,305.6,AAPL
9/30/2016,2.07,12.695652173913045,9.74,6.01,2.43,106.87,1.35,104.74,1.33,193.44,1.51,35.59,14.91,30.76,119.63,38.24,26.28,79.01,128.25,45.69,67155,128249,46852,17813,11761,14309,9014,0.43,22001,2.6981519507186857,4.3727121464226295,10.814814814814815,321.69,AAPL
12/31/2016,2.09,12.947368421052632,10.02,6.3,2.49,103.33,1.23,100.62,1.2,198.75,1.5,34.94,14.31,29.42,124.12,37.46,27.06,84.13,132.39,45.22,60452,132390,78351,30176,23359,26346,17891,0.84,21312,2.7005988023952097,4.295238095238095,10.86746987951807,331.14,AAPL
3/31/2017,2.14,15.75233644859813,10.25,6.44,2.53,101.99,1.39,99.08,1.35,200.45,1.5,35.09,14.15,28.81,125.99,37.52,33.71,73.34,134.08,45.73,67101,134082,52896,20591,14097,16429,11029,0.53,21047,3.2887804878048783,5.234472049689441,13.32411067193676,334.53,AAPL
6/30/2017,2.2,15.422727272727272,10.49,6.4,2.47,112.88,1.39,109.73,1.35,212.75,1.61,35.4,14,28.21,124.32,37.77,33.93,81.3,132.43,46.65,76759,132425,45408,17488,10768,13122,8717,0.42,20934,3.234509056244042,5.301562499999999,13.736842105263158,345.17,AAPL
9/30/2017,2.3,15.85217391304348,10.86,6.54,2.46,128.65,1.28,123.79,1.23,241.27,1.8,36.29,13.95,27.94,134.05,38.04,36.46,100.81,134.05,48.35,74181,134047,52579,19931,13120,15604,10714,0.52,21007,3.3572744014732967,5.574923547400612,14.821138211382115,375.32,AAPL
12/31/2017,2.43,16.53497942386831,11.46,6.9,2.58,143.81,1.24,139.39,1.2,266.6,1.9,37.37,13.83,28.05,132.16,39.13,40.18,115.79,140.2,50.53,77153,140199,88293,33912,26274,29019,20065,0.97,20631,3.5061082024432806,5.823188405797101,15.573643410852712,406.79,AAPL
3/31/2018,2.59,15.440154440154442,11.97,6.42,2.67,130.05,1.46,122.39,1.37,240.62,1.9,39.97,14.27,28.54,126.88,41.22,39.99,89.32,126.88,53.32,87940,126878,61137,23422,15894,18633,13822,0.68,20274,3.3408521303258145,6.228971962616823,14.977528089887642,367.5,AAPL
6/30/2018,2.76,16.05072463768116,12.5,5.93,2.98,115.76,1.31,109.83,1.24,234.25,2.04,43.5,14.98,29.66,114.95,44.19,44.3,88.55,114.95,56.12,70970,114949,53265,20421,12612,15277,11519,0.59,19706,3.5439999999999996,7.470489038785835,14.865771812080537,349.2,AAPL
9/30/2018,2.97,18.252525252525253,13.14,5.63,3.21,131.34,1.13,127.38,1.1,258.58,2.41,48.68,15.99,32.03,107.15,49.49,54.21,115.93,107.15,59.53,66301,107147,62900,24084,16118,18872,14125,0.74,20000,4.1255707762557075,9.628774422735347,16.88785046728972,365.73,AAPL
12/31/2018,3.04,12.503289473684209,13.28,6.23,3.19,140.83,1.3,135.84,1.25,255.83,2.17,50.92,16.33,31.91,117.89,50.92,38.01,108.28,117.89,59.43,86427,117892,84310,32031,23346,26741,19965,1.05,19093,2.862198795180723,6.101123595505618,11.915360501567397,373.72,AAPL
3/31/2019,2.97,15.478114478114477,13.35,5.74,3.12,123.35,1.32,118.46,1.26,236.14,2.23,51.29,15.98,31.95,105.86,51.29,45.97,93.77,105.86,57.17,80092,105860,58015,21821,13415,16455,11561,0.62,18803,3.4434456928838952,8.008710801393727,14.733974358974358,342,AAPL
